## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.manufacturer,entity.imageurl,entity.rating,entity.views,entity.price,entity.description,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7
101,Paracetamol 500mg,Pain Relief,Effective for mild to moderate pain and fever.,https://5.imimg.com/data5/SELLER/Default/2023/2/HR/CZ/QW/6918745/paracetamol-500mg-tablets-intemol-500-2-.jpeg,,http://localhost:1818/pharma/product.html?id=101,150,,Cipla,https://media.istockphoto.com/id/1217210776/photo/generic-paracetamol-500mg-tablets.jpg?s=612x612&w=is&k=20&c=yS5EZX9AgwE0BHQ6ZDo6macCzag3xi10cn1iwM9YcIc=,4.5,45,45,Effective for mild to moderate pain and fever.,,,,,
102,Ibuprofen 400mg,Anti-inflammatory,"Used to reduce pain, inflammation, and fever.",https://5.imimg.com/data5/SELLER/Default/2023/6/317490868/LY/HS/SU/163764882/aspirin-active-ingredient-500x500.jpg,,http://localhost:1818/pharma/product.html?id=102,200,,Sun Pharma,https://5.imimg.com/data5/SELLER/Default/2023/6/319597573/MH/NE/SR/135658020/ibuprofen-400-mg-bp-tablets.jpg,4.6,55,55,"Used to reduce pain, inflammation, and fever.",,,,,
103,Aspirin 100mg,Cardiovascular,Blood thinner and pain relief for heart conditions.,https://5.imimg.com/data5/SELLER/Default/2023/6/317490868/LY/HS/SU/163764882/aspirin-active-ingredient-500x500.jpg,,http://localhost:1818/pharma/product.html?id=103,300,,Bayer,https://5.imimg.com/data5/SELLER/Default/2023/6/317490868/LY/HS/SU/163764882/aspirin-active-ingredient-500x500.jpg,4.3,75,75,Blood thinner and pain relief for heart conditions.,,,,,
104,Vitamin D3 1000IU,Supplements,Supports bone health and immune system.,https://cdn.nutrabay.com/wp-content/uploads/2017/03/5019781010424-1.jpg,,http://localhost:1818/pharma/product.html?id=104,180,,Abbott,https://cdn.nutrabay.com/wp-content/uploads/2017/03/5019781010424-1.jpg,4.7,150,150,Supports bone health and immune system.,,,,,
105,Cough Syrup,Cough & Cold,Provides relief from cough and sore throat.,https://static2.medplusmart.com/products/_766561_/BIOC0083_L.jpg,,http://localhost:1818/pharma/product.html?id=105,100,,Zydus Cadila,https://static2.medplusmart.com/products/_766561_/BIOC0083_L.jpg,4.1,95,95,Provides relief from cough and sore throat.,,,,,
106,Amoxicillin 250mg,Antibiotics,Broad-spectrum antibiotic used to treat infections.,https://5.imimg.com/data5/SELLER/Default/2023/1/JG/OG/XZ/23618296/amoxycillin-250mg-cap.jpg,,http://localhost:1818/pharma/product.html?id=106,80,,GlaxoSmithKline,https://5.imimg.com/data5/SELLER/Default/2023/1/JG/OG/XZ/23618296/amoxycillin-250mg-cap.jpg,4.8,110,110,Broad-spectrum antibiotic used to treat infections.,,,,,
107,Omeprazole 20mg,Digestive Health,Used to treat acid reflux and heartburn.,https://5.imimg.com/data5/JD/FH/VU/SELLER-5478572/omeprazole-capsules-20mg.jpeg,,http://localhost:1818/pharma/product.html?id=107,90,,Torrent Pharma,https://5.imimg.com/data5/JD/FH/VU/SELLER-5478572/omeprazole-capsules-20mg.jpeg,4.4,65,65,Used to treat acid reflux and heartburn.,,,,,
108,Loratadine 10mg,Allergy Relief,Antihistamine for relief from allergy symptoms.,https://5.imimg.com/data5/JD/FH/VU/SELLER-5478572/omeprazole-capsules-20mg.jpeg,,http://localhost:1818/pharma/product.html?id=108,150,,Glenmark,https://5.imimg.com/data5/SELLER/Default/2023/8/332709645/ER/VU/LD/6299000/loratadine-10-mg-tablets.jpeg,4.5,50,50,Antihistamine for relief from allergy symptoms.,,,,,
109,Metformin 500mg,Diabetes Care,Helps control blood sugar levels for type 2 diabetes.,https://5.imimg.com/data5/SELLER/Default/2022/2/XK/KH/FK/146734484/metformin-500mg-tablets.jpg,,http://localhost:1818/pharma/product.html?id=109,130,,Lupin,https://5.imimg.com/data5/SELLER/Default/2022/2/XK/KH/FK/146734484/metformin-500mg-tablets.jpg,4.7,120,120,Helps control blood sugar levels for type 2 diabetes.,,,,,
110,Cetirizine 10mg,Allergy Relief,Provides 24-hour relief from common allergies.,https://5.imimg.com/data5/SELLER/Default/2022/7/PN/RG/HF/2593018/cetirizine-tablets-ip-10mg.jpg,,http://localhost:1818/pharma/product.html?id=110,160,,Alkem Labs,https://5.imimg.com/data5/SELLER/Default/2022/7/PN/RG/HF/2593018/cetirizine-tablets-ip-10mg.jpg,4.9,40,40,Provides 24-hour relief from common allergies.,,,,,
