## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,
## RECS entity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.pageUrl,entity.value,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10
1,Paris,France,Explore the beauty of the Eiffel Tower and other attractions in the heart of France.,https://media.istockphoto.com/id/1145422105/photo/eiffel-tower-aerial-view-paris.jpg?s=612x612&w=0&k=20&c=sFn6FwTJR0TpX3rP_W4VHrbkTB__6l5kr-lkkqdYrtE=,,1200,,,,,,,,,,,,
2,Bali,Indonesia,Relax on the beautiful beaches and experience the culture of Bali.,https://media.istockphoto.com/id/1023100154/photo/bali-coast-with-a-figurative-breakwater-aerial-view.jpg?s=2048x2048&w=is&k=20&c=WT-Fv-hKSrsk7iEqSsOvd7UFN4QKmVYstYPkJUVQTsM=,,1300,,,,,,,,,,,,
3,Tokyo,Japan,Discover the vibrant city life and traditional culture of Japan’s capital city.,https://img.freepik.com/free-photo/aerial-view-tokyo-cityscape-with-fuji-mountain-japan_335224-148.jpg?size=626&ext=jpg&ga=GA1.1.1373432341.1727159467&semt=ais_hybrid,,1500,,,,,,,,,,,,
4,Sydney,Australia,Visit the famous Sydney Opera House and enjoy the stunning beaches.,https://plus.unsplash.com/premium_photo-1697730198238-48ee2f2fe1b7?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8c3lkbmV5fGVufDB8fDB8fHww,,1400,,,,,,,,,,,,
5,Rome,Italy,Step into history and explore ancient Roman architecture and art.,https://media.istockphoto.com/id/1927178713/photo/roof-top-view-of-rome-historical-center-at-golden-hour-city-skyline-as-seen-from-castel.jpg?s=2048x2048&w=is&k=20&c=uF92SJCsA9603QvEcORS0q7YPcPAB-9ML9Z5fdtASIg=,,1500,,,,,,,,,,,,
6,New York,USA,Experience the fast-paced life of New York City and its famous landmarks.,https://plus.unsplash.com/premium_photo-1682656220562-32fde8256295?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8bmV3JTIweW9yayUyMGNpdHl8ZW58MHx8MHx8fDA%3D,,1600,,,,,,,,,,,,
7,Cancun,Mexico,Enjoy pristine beaches and vibrant nightlife in this tropical paradise.,https://media.istockphoto.com/id/956105474/photo/cancun-beach-with-boat.jpg?s=2048x2048&w=is&k=20&c=1A1dsvOGT_9l_TzH_Lv9U6GER3H7R8F3pJdfDx5IVgA=,,1400,,,,,,,,,,,,
8,Cape Town,South Africa,Discover breathtaking views and diverse wildlife in this coastal city.,https://media.istockphoto.com/id/620737858/photo/cape-town-and-the-12-apostels-from-above.jpg?s=612x612&w=0&k=20&c=WPP0CFtX4y-eHwplbZ1DvPP9bnGjjpz4U4ZZvj8i8Tc=,,1300,,,,,,,,,,,,
9,Dubai,UAE,Experience luxury shopping and ultramodern architecture in the desert.,https://images.unsplash.com/photo-1518684079-3c830dcef090?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8ZHViYWl8ZW58MHx8MHx8fDA%3D,,1400,,,,,,,,,,,,
10,London,UK,Visit iconic landmarks like Big Ben and Buckingham Palace.,https://media.istockphoto.com/id/1347665170/photo/london-at-sunset.jpg?s=612x612&w=0&k=20&c=MdiIzSNKvP8Ct6fdgdV3J4FVcfsfzQjMb6swe2ybY6I=,,1300,,,,,,,,,,,,
11,Santorini,Greece,Experience stunning sunsets and beautiful beaches in this island paradise.,https://plus.unsplash.com/premium_photo-1661964149725-fbf14eabd38c?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8c2FudG9yaW5pfGVufDB8fDB8fHww,,1600,,,,,,,,,,,,
12,Bangkok,Thailand,Enjoy the rich culture and vibrant street life of Thailand's capital.,https://plus.unsplash.com/premium_photo-1661963188068-1bac46e28727?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8YmFuZ2tva3xlbnwwfHwwfHx8MA%3D%3D,,1400,,,,,,,,,,,,
13,Istanbul,Turkey,Explore the unique blend of cultures and history in this vibrant city.,https://media.istockphoto.com/id/160193420/photo/blue-mosque-in-istanbul.jpg?s=612x612&w=0&k=20&c=GABmGJwvlo-ejMwPZKCU4YCUyiVxXNHc5dDneL7o0Mg=,,1250,,,,,,,,,,,,
14,Amsterdam,Netherlands,Experience the picturesque canals and rich history of this charming city.,https://t3.ftcdn.net/jpg/01/21/44/24/240_F_121442455_nE2JdYpzmGjWVVXF9iPlVsVKP50ejebM.jpg,,1300,,,,,,,,,,,,
15,Lisbon,Portugal,Discover stunning architecture and vibrant culture in Portugal's capital.,https://plus.unsplash.com/premium_photo-1677344289076-b4e8d7325e94?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8bGlzYm9ufGVufDB8fDB8fHww,,1300,,,,,,,,,,,,
16,Montreal,Canada,Enjoy a mix of European charm and North American flair in this vibrant city.,https://plus.unsplash.com/premium_photo-1712171185603-c8cc8f0e9a7a?q=80&w=2067&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,,1150,,,,,,,,,,,,
17,Vienna,Austria,Immerse yourself in the classical music and stunning architecture of Vienna.,https://media.istockphoto.com/id/1859810236/photo/statue-of-archduke-charles-on-heldenplatz-square-vienna-austria.jpg?s=2048x2048&w=is&k=20&c=rduZNB51Oxe9oj0xbak01FKCgl0TsZ8cdXXRn6BtCBE=,,1450,,,,,,,,,,,,
18,Prague,Czech Republic,Explore the historic streets and breathtaking architecture of this fairy-tale city.,https://plus.unsplash.com/premium_photo-1661963067279-2f7bf970c49c?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8cHJhZ3VlfGVufDB8fDB8fHww,,1200,,,,,,,,,,,,
